sat,image_index,subject,stim,response,confidence,correct,resp_rt,conf_rt,repeat,mnist_index
accuracy focus,1,15,2,2,1,1,1.825752042,1.070631208,0,48
accuracy focus,1,15,2,7,3,0,0.871308458,0.580032791,1,48
accuracy focus,1,16,2,2,3,1,0.998323,1.146468167,0,48
accuracy focus,1,16,2,2,2,1,0.904727042,0.809144667,1,48
accuracy focus,1,17,2,2,4,1,1.046370375,0.681573667,0,48
accuracy focus,1,17,2,2,3,1,0.708283,0.504698625,1,48
accuracy focus,1,18,2,2,3,1,1.906466625,0.350108583,0,48
accuracy focus,1,18,2,7,3,0,0.842014,0.247570875,1,48
accuracy focus,1,19,2,1,1,0,1.147115583,0.371536292,0,48
accuracy focus,1,19,2,2,3,1,0.5476695,0.432808,1,48
accuracy focus,1,20,2,2,4,1,0.618801834,0.153300458,0,48
accuracy focus,1,20,2,2,4,1,0.667243167,0.119823875,1,48
accuracy focus,1,21,2,2,3,1,1.243216459,0.7599565,0,48
accuracy focus,1,21,2,2,4,1,0.927887667,0.185661333,1,48
accuracy focus,1,22,2,3,1,0,1.656144333,0.850713709,0,48
accuracy focus,1,22,2,2,1,1,0.785543667,0.7285355,1,48
accuracy focus,1,23,2,3,1,0,1.105738417,0.411145375,0,48
accuracy focus,1,23,2,2,1,1,0.833931792,0.233921917,1,48
accuracy focus,1,24,2,2,4,1,0.6839175,0.258036708,0,48
accuracy focus,1,24,2,2,4,1,0.664311709,0.264868333,1,48
accuracy focus,1,25,2,2,4,1,0.826897375,0.420659542,0,48
accuracy focus,1,25,2,2,2,1,1.079753375,0.781891292,1,48
accuracy focus,1,26,2,2,4,1,1.079945584,0.352878709,0,48
accuracy focus,1,26,2,4,3,0,1.727377708,0.266495125,1,48
accuracy focus,1,27,2,2,4,1,1.147551125,0.714498208,0,48
accuracy focus,1,27,2,2,4,1,0.938623208,0.268519625,1,48
accuracy focus,1,28,2,2,3,1,1.33302675,0.409340834,0,48
accuracy focus,1,28,2,5,1,0,1.472853291,0.427185708,1,48
accuracy focus,1,29,2,3,3,0,2.243790417,1.545981542,0,48
accuracy focus,1,29,2,5,2,0,1.222139708,0.50540425,1,48
accuracy focus,1,30,2,2,3,1,0.952120042,0.982742125,0,48
accuracy focus,1,30,2,2,4,1,0.612549542,0.509123833,1,48
accuracy focus,1,31,2,8,1,0,1.101024208,0.282027959,0,48
accuracy focus,1,31,2,5,3,0,1.492328458,0.346907917,1,48
accuracy focus,1,32,2,3,4,0,0.730974417,0.186173834,0,48
accuracy focus,1,32,2,2,2,1,1.589739125,0.438572083,1,48
accuracy focus,1,33,2,2,4,1,0.857608417,0.522090125,0,48
accuracy focus,1,33,2,2,4,1,0.979983916,0.777379958,1,48
accuracy focus,1,34,2,2,2,1,1.067491833,0.2960425,0,48
accuracy focus,1,34,2,2,2,1,0.783041583,0.923497125,1,48
accuracy focus,1,35,2,2,4,1,0.692100417,0.538039417,0,48
accuracy focus,1,35,2,2,2,1,0.937906666,0.409350917,1,48
accuracy focus,1,36,2,2,4,1,1.2208055,1.146379166,0,48
accuracy focus,1,36,2,2,2,1,0.807594292,1.347266209,1,48
accuracy focus,1,37,2,2,4,1,2.053130375,1.095595166,0,48
accuracy focus,1,37,2,6,2,0,2.219669042,0.969954875,1,48
accuracy focus,1,38,2,2,4,1,1.084142041,0.283823708,0,48
accuracy focus,1,38,2,2,3,1,0.958461333,1.273394417,1,48
accuracy focus,1,39,2,2,4,1,1.35279025,0.287787958,0,48
accuracy focus,1,39,2,2,4,1,0.958018833,0.487763125,1,48
accuracy focus,1,40,2,2,4,1,0.884312917,0.518744375,0,48
accuracy focus,1,40,2,3,2,0,1.249922834,0.796403875,1,48
accuracy focus,1,41,2,3,4,0,1.293470959,0.136889167,0,48
accuracy focus,1,41,2,3,1,0,0.817518417,0.153368875,1,48
accuracy focus,1,42,2,7,2,0,0.774484417,0.408809375,0,48
accuracy focus,1,42,2,2,4,1,0.818205958,0.139750666,1,48
accuracy focus,1,43,2,2,3,1,0.881396375,0.40786175,0,48
accuracy focus,1,43,2,6,2,0,1.360890208,0.592062,1,48
accuracy focus,1,44,2,2,4,1,0.76605075,2.814443125,0,48
accuracy focus,1,44,2,2,1,1,2.647301041,0.189744792,1,48
accuracy focus,1,45,2,3,3,0,0.748000833,1.049923291,0,48
accuracy focus,1,45,2,2,3,1,0.620373791,0.553888291,1,48
accuracy focus,1,46,2,3,4,0,0.677801833,0.681387417,0,48
accuracy focus,1,46,2,2,4,1,0.55419525,0.26324425,1,48
accuracy focus,1,47,2,2,4,1,0.733649333,0.174215917,0,48
accuracy focus,1,47,2,2,4,1,0.850366958,0.200392209,1,48
accuracy focus,1,48,2,2,3,1,0.94507175,1.321557958,0,48
accuracy focus,1,48,2,2,4,1,0.775925459,0.739553542,1,48
accuracy focus,1,49,2,6,1,0,1.108229042,0.2829895,0,48
accuracy focus,1,49,2,2,4,1,0.677221458,0.172017958,1,48
accuracy focus,1,50,2,3,1,0,0.994286875,1.034369875,0,48
accuracy focus,1,50,2,2,4,1,1.106142125,0.283329583,1,48
accuracy focus,1,51,2,2,4,1,0.86438775,0.409167166,0,48
accuracy focus,1,51,2,2,3,1,0.870827792,0.52229425,1,48
accuracy focus,1,52,2,2,4,1,0.825109208,0.126018,0,48
accuracy focus,1,52,2,2,4,1,0.648396167,0.139599209,1,48
accuracy focus,1,53,2,2,4,1,0.558007708,0.170268167,0,48
accuracy focus,1,53,2,2,4,1,0.641613917,0.139833833,1,48
accuracy focus,1,54,2,2,1,1,0.871989834,0.459031958,0,48
accuracy focus,1,54,2,2,4,1,1.276161083,0.537103083,1,48
accuracy focus,1,55,2,2,3,1,1.050988334,1.540013792,0,48
accuracy focus,1,55,2,4,1,0,1.170361083,0.347120125,1,48
accuracy focus,1,56,2,2,2,1,0.808617209,0.5214925,0,48
accuracy focus,1,56,2,2,3,1,0.69427125,0.193368417,1,48
accuracy focus,1,57,2,2,2,1,0.966152333,0.392701333,0,48
accuracy focus,1,57,2,2,4,1,0.878892209,0.714248458,1,48
accuracy focus,1,58,2,3,4,0,0.881967291,0.218030833,0,48
accuracy focus,1,58,2,4,4,0,0.845647084,0.170684375,1,48
accuracy focus,1,59,2,2,2,1,1.080288292,0.425270209,0,48
accuracy focus,1,59,2,2,4,1,0.850042,1.309283459,1,48
accuracy focus,1,60,2,2,3,1,0.974316875,0.927789333,0,48
accuracy focus,1,60,2,2,4,1,0.791581541,0.609314583,1,48
accuracy focus,2,1,2,2,4,1,2.086488542,0.344243875,0,322
accuracy focus,2,1,2,8,1,0,0.818227375,0.235250042,1,322
accuracy focus,2,2,2,7,4,0,0.915537875,0.251670417,0,322
accuracy focus,2,2,2,7,2,0,0.836557416,0.346935458,1,322
accuracy focus,2,3,2,2,3,1,0.687878833,0.236813042,0,322
accuracy focus,2,3,2,2,1,1,0.721256083,1.41810325,1,322
accuracy focus,2,4,2,2,4,1,1.199691833,1.1799525,0,322
accuracy focus,2,4,2,2,3,1,0.886681583,0.23162375,1,322
accuracy focus,2,5,2,2,4,1,0.661514209,0.150705333,0,322
accuracy focus,2,5,2,2,4,1,0.74207075,0.182981625,1,322
accuracy focus,2,6,2,2,1,1,1.280086208,0.359852875,0,322
accuracy focus,2,6,2,7,4,0,0.868501334,0.139575166,1,322
accuracy focus,2,7,2,2,4,1,0.988577583,0.640228375,0,322
accuracy focus,2,7,2,2,4,1,1.947366625,0.478255917,1,322
accuracy focus,2,8,2,7,4,0,2.060899416,0.48060475,0,322
accuracy focus,2,8,2,7,2,0,0.800073333,0.346156833,1,322
accuracy focus,2,9,2,2,1,1,1.563030417,0.996255542,0,322
accuracy focus,2,9,2,2,2,1,1.080824792,1.219900541,1,322
accuracy focus,2,10,2,2,4,1,1.304215916,2.983650542,0,322
accuracy focus,2,10,2,7,4,0,0.850629833,0.186258375,1,322
accuracy focus,2,11,2,5,4,0,0.859150583,0.290710375,0,322
accuracy focus,2,11,2,8,4,0,0.574246625,0.50835475,1,322
accuracy focus,2,12,2,2,4,1,0.681585833,0.185983125,0,322
accuracy focus,2,12,2,3,4,0,0.49788425,0.7961205,1,322
accuracy focus,2,13,2,8,4,0,0.748445292,0.138189292,0,322
accuracy focus,2,13,2,2,4,1,0.788233042,0.278016584,1,322
accuracy focus,2,14,2,2,2,1,1.286165625,0.921696,0,322
accuracy focus,2,14,2,2,4,1,0.955738958,0.297966417,1,322
accuracy focus,2,15,2,2,2,1,1.868926417,1.8500355,0,322
accuracy focus,2,15,2,2,1,1,1.908803375,1.10452325,1,322
accuracy focus,2,16,2,2,3,1,1.03272975,1.594579834,0,322
accuracy focus,2,16,2,7,2,0,0.937320541,0.618206875,1,322
accuracy focus,2,17,2,8,2,0,1.17302575,0.34697,0,322
accuracy focus,2,17,2,2,1,1,1.225527417,0.330553166,1,322
accuracy focus,2,18,2,1,1,0,1.054300833,0.267692875,0,322
accuracy focus,2,18,2,7,1,0,1.09948225,0.491576541,1,322
accuracy focus,2,19,2,3,1,0,0.798572792,0.595621375,0,322
accuracy focus,2,19,2,2,3,1,0.539301291,0.963599875,1,322
accuracy focus,2,20,2,2,3,1,0.887322833,0.946597875,0,322
accuracy focus,2,20,2,7,1,0,0.709835417,0.534405542,1,322
accuracy focus,2,21,2,7,4,0,0.917535333,0.268349708,0,322
accuracy focus,2,21,2,1,1,0,1.005144166,0.385339541,1,322
accuracy focus,2,22,2,2,4,1,0.803144083,0.416619,0,322
accuracy focus,2,22,2,5,4,0,0.95100475,0.648464792,1,322
accuracy focus,2,23,2,2,2,1,3.523662834,0.263352333,0,322
accuracy focus,2,23,2,3,1,0,1.147366875,0.202446458,1,322
accuracy focus,2,24,2,2,4,1,0.810009708,0.364905959,0,322
accuracy focus,2,24,2,8,4,0,1.704552458,0.364581166,1,322
accuracy focus,2,25,2,2,3,1,1.008336542,3.785174167,0,322
accuracy focus,2,25,2,2,3,1,0.766928,1.286432167,1,322
accuracy focus,2,26,2,7,4,0,1.209160083,0.75467875,0,322
accuracy focus,2,26,2,2,4,1,1.152788625,0.514939708,1,322
accuracy focus,2,27,2,2,4,1,0.70865075,0.330179417,0,322
accuracy focus,2,27,2,6,3,0,0.999693291,1.103301625,1,322
accuracy focus,2,28,2,6,1,0,1.166492458,1.147146458,0,322
accuracy focus,2,28,2,7,3,0,0.705247042,0.248896292,1,322
accuracy focus,2,29,2,3,1,0,1.158800917,0.842014167,0,322
accuracy focus,2,29,2,2,2,1,1.323418875,0.393223583,1,322
accuracy focus,2,30,2,2,4,1,1.0417185,0.56095125,0,322
accuracy focus,2,30,2,4,4,0,1.479126333,0.374880167,1,322
accuracy focus,2,31,2,2,3,1,0.679411209,0.265547833,0,322
accuracy focus,2,31,2,8,4,0,0.779935708,0.282210292,1,322
accuracy focus,2,32,2,2,4,1,1.0528355,0.16769275,0,322
accuracy focus,2,32,2,2,4,1,0.81225275,0.167933,1,322
accuracy focus,2,33,2,7,2,0,1.496346375,1.560173625,0,322
accuracy focus,2,33,2,7,2,0,0.946413042,0.827806542,1,322
accuracy focus,2,34,2,1,1,0,1.276823375,0.249384875,0,322
accuracy focus,2,34,2,2,2,1,1.09252375,0.63439875,1,322
accuracy focus,2,35,2,2,2,1,1.152817333,0.540732916,0,322
accuracy focus,2,35,2,2,4,1,0.694680792,0.3151355,1,322
accuracy focus,2,36,2,2,2,1,0.827614875,0.321645,0,322
accuracy focus,2,36,2,5,2,0,1.584215542,4.185835958,1,322
accuracy focus,2,37,2,6,2,0,2.021662583,0.504857375,0,322
accuracy focus,2,37,2,2,4,1,0.920188208,0.330709875,1,322
accuracy focus,2,38,2,2,1,1,1.146532833,0.814800667,0,322
accuracy focus,2,38,2,7,3,0,0.989937125,0.422555541,1,322
accuracy focus,2,39,2,7,2,0,1.535914917,0.334617584,0,322
accuracy focus,2,39,2,7,4,0,0.937136042,0.478619125,1,322
accuracy focus,2,40,2,2,2,1,1.26816975,0.743321833,0,322
accuracy focus,2,40,2,7,4,0,0.761931625,0.381615833,1,322
accuracy focus,2,41,2,2,4,1,0.961542,0.137010417,0,322
accuracy focus,2,41,2,2,3,1,0.978908583,0.601400291,1,322
accuracy focus,2,42,2,7,1,0,1.087004542,0.186258416,0,322
accuracy focus,2,42,2,2,4,1,0.74232625,0.331348375,1,322
accuracy focus,2,43,2,5,2,0,2.013216875,0.223364917,0,322
accuracy focus,2,43,2,8,3,0,1.103670292,0.321128583,1,322
accuracy focus,2,44,2,7,3,0,0.662786709,0.871605125,0,322
accuracy focus,2,44,2,7,2,0,0.976021833,0.321476209,1,322
accuracy focus,2,45,2,7,4,0,0.709939792,0.281155208,0,322
accuracy focus,2,45,2,8,2,0,0.66605525,1.0667805,1,322
accuracy focus,2,46,2,7,4,0,0.779854125,0.665837541,0,322
accuracy focus,2,46,2,8,4,0,0.544297959,0.169679875,1,322
accuracy focus,2,47,2,2,3,1,1.132624667,0.535614167,0,322
accuracy focus,2,47,2,2,4,1,0.477935083,0.317955584,1,322
accuracy focus,2,48,2,2,2,1,1.587365417,1.089585958,0,322
accuracy focus,2,48,2,1,3,0,1.004282167,0.746495625,1,322
accuracy focus,2,49,2,7,4,0,0.876170041,0.12165275,0,322
accuracy focus,2,49,2,7,1,0,1.016238959,0.634373291,1,322
accuracy focus,2,50,2,7,4,0,1.114903125,0.505602334,0,322
accuracy focus,2,50,2,2,4,1,0.810630042,0.603747625,1,322
accuracy focus,2,51,2,2,3,1,0.840357834,1.882039541,0,322
accuracy focus,2,51,2,3,2,0,0.887041834,1.307900125,1,322
accuracy focus,2,52,2,2,4,1,0.551195583,0.1804175,0,322
accuracy focus,2,52,2,1,1,0,0.934152708,0.22589325,1,322
accuracy focus,2,53,2,2,4,1,0.728842208,0.377053125,0,322
accuracy focus,2,53,2,7,4,0,0.78007175,0.265256042,1,322
accuracy focus,2,54,2,2,4,1,0.967257458,0.472340792,0,322
accuracy focus,2,54,2,7,4,0,0.884212459,0.489501541,1,322
accuracy focus,2,55,2,2,1,1,1.043109583,0.341116167,0,322
accuracy focus,2,55,2,2,1,1,1.103527375,0.933253875,1,322
accuracy focus,2,56,2,2,2,1,0.963789208,0.537623041,0,322
accuracy focus,2,56,2,2,1,1,0.833545167,0.285431375,1,322
accuracy focus,2,57,2,7,1,0,0.819746208,0.263503208,0,322
accuracy focus,2,57,2,7,4,0,1.659652375,0.314691041,1,322
accuracy focus,2,58,2,7,3,0,0.98685375,0.391813833,0,322
accuracy focus,2,58,2,2,4,1,0.6613875,0.137088791,1,322
accuracy focus,2,59,2,7,3,0,1.163953125,0.6523365,0,322
accuracy focus,2,59,2,2,2,1,0.876194167,0.519537334,1,322
accuracy focus,2,60,2,2,1,1,1.186269417,1.124889542,0,322
accuracy focus,2,60,2,5,1,0,0.864776959,3.061422834,1,322
accuracy focus,3,1,5,5,3,1,1.824847625,1.609772333,0,413
accuracy focus,3,1,5,3,4,0,1.035012584,0.151961125,1,413
accuracy focus,3,2,5,3,4,0,0.738502541,0.202202375,0,413
accuracy focus,3,2,5,3,3,0,1.011912292,0.697947459,1,413
accuracy focus,3,3,5,3,4,0,0.674572042,0.117321208,0,413
accuracy focus,3,3,5,3,2,0,0.615158209,1.066549708,1,413
accuracy focus,3,4,5,8,2,0,0.976556958,0.250968625,0,413
accuracy focus,3,4,5,5,4,1,0.803228833,0.407791542,1,413
accuracy focus,3,5,5,3,4,0,1.041439708,0.615062791,0,413
accuracy focus,3,5,5,2,1,0,1.172136666,0.647539166,1,413
accuracy focus,3,6,5,3,4,0,0.684196833,0.168605708,0,413
accuracy focus,3,6,5,3,4,0,0.690587625,0.427505625,1,413
accuracy focus,3,7,5,3,4,0,1.148832166,0.454193125,0,413
accuracy focus,3,7,5,8,4,0,0.88251875,0.667082,1,413
accuracy focus,3,8,5,5,4,1,1.12861475,0.444870875,0,413
accuracy focus,3,8,5,5,4,1,0.99729375,0.3459565,1,413
accuracy focus,3,9,5,3,4,0,0.729748708,0.81268475,0,413
accuracy focus,3,9,5,3,3,0,0.984472041,0.932897667,1,413
accuracy focus,3,10,5,5,4,1,1.155825583,0.650335583,0,413
accuracy focus,3,10,5,5,3,1,1.544917958,0.551837375,1,413
accuracy focus,3,11,5,3,4,0,1.20396725,0.322857375,0,413
accuracy focus,3,11,5,3,4,0,0.758977875,0.429467,1,413
accuracy focus,3,12,5,3,4,0,0.704245083,0.233184042,0,413
accuracy focus,3,12,5,5,4,1,0.539126708,0.219013917,1,413
accuracy focus,3,13,5,5,4,1,0.853616917,0.143859875,0,413
accuracy focus,3,13,5,3,4,0,0.909138417,0.151112042,1,413
accuracy focus,3,14,5,3,4,0,0.974091459,0.280214084,0,413
accuracy focus,3,14,5,3,4,0,0.732992041,0.313338167,1,413
accuracy focus,3,15,5,6,2,0,3.509000292,1.043153583,0,413
accuracy focus,3,15,5,5,4,1,1.338433917,1.011134666,1,413
accuracy focus,3,16,5,8,3,0,3.554496916,1.351952375,0,413
accuracy focus,3,16,5,3,3,0,0.783082709,0.537992417,1,413
accuracy focus,3,17,5,3,3,0,0.757486834,0.362086042,0,413
accuracy focus,3,17,5,3,3,0,1.034261209,0.523932,1,413
accuracy focus,3,18,5,8,4,0,0.755743958,0.254670208,0,413
accuracy focus,3,18,5,3,1,0,1.830031292,0.626139,1,413
accuracy focus,3,19,5,8,2,0,2.281958875,0.705220208,0,413
accuracy focus,3,19,5,3,2,0,0.788995625,0.446646708,1,413
accuracy focus,3,20,5,8,4,0,0.575966959,0.176638125,0,413
accuracy focus,3,20,5,8,4,0,0.53781675,0.146927792,1,413
accuracy focus,3,21,5,3,4,0,0.99677925,0.206479583,0,413
accuracy focus,3,21,5,3,4,0,1.07209525,0.186608791,1,413
accuracy focus,3,22,5,3,4,0,0.65675675,0.387171208,0,413
accuracy focus,3,22,5,3,4,0,0.624737708,3.317450292,1,413
accuracy focus,3,23,5,5,2,1,1.142067583,0.4577835,0,413
accuracy focus,3,23,5,3,4,0,0.942963792,0.250395458,1,413
accuracy focus,3,24,5,5,4,1,1.104284209,0.390967375,0,413
accuracy focus,3,24,5,3,4,0,0.670236417,0.238734667,1,413
accuracy focus,3,25,5,5,2,1,0.825181209,2.509042042,0,413
accuracy focus,3,25,5,3,2,0,0.903860042,0.448046417,1,413
accuracy focus,3,26,5,3,4,0,1.0767015,0.337619,0,413
accuracy focus,3,26,5,3,4,0,0.661184542,0.31920375,1,413
accuracy focus,3,27,5,7,1,0,3.473271,0.556945,0,413
accuracy focus,3,27,5,5,2,1,1.175941041,0.48141825,1,413
accuracy focus,3,28,5,8,2,0,0.930553,0.649840917,0,413
accuracy focus,3,28,5,3,2,0,1.099841667,0.459130583,1,413
accuracy focus,3,29,5,3,3,0,0.828282917,0.379767875,0,413
accuracy focus,3,29,5,3,1,0,0.932808458,1.49816725,1,413
accuracy focus,3,30,5,3,2,0,1.4165755,0.791683291,0,413
accuracy focus,3,30,5,3,4,0,0.931154875,0.307012209,1,413
accuracy focus,3,31,5,3,4,0,1.011825292,0.390570708,0,413
accuracy focus,3,31,5,3,4,0,2.48642025,0.841520167,1,413
accuracy focus,3,32,5,3,4,0,1.298299792,0.327277709,0,413
accuracy focus,3,32,5,7,2,0,0.745344208,0.876554333,1,413
accuracy focus,3,33,5,3,4,0,0.886336084,0.4235225,0,413
accuracy focus,3,33,5,8,4,0,0.863906584,0.760926375,1,413
accuracy focus,3,34,5,5,3,1,1.266730625,0.598660458,0,413
accuracy focus,3,34,5,3,3,0,0.80314675,0.346351875,1,413
accuracy focus,3,35,5,6,3,0,1.820824208,0.513226792,0,413
accuracy focus,3,35,5,3,4,0,1.016211625,0.795533125,1,413
accuracy focus,3,36,5,8,1,0,1.761429125,0.720418542,0,413
accuracy focus,3,36,5,3,2,0,1.201643334,1.391099041,1,413
accuracy focus,3,37,5,6,4,0,1.413783541,0.82576525,0,413
accuracy focus,3,37,5,5,4,1,1.880264666,0.297113916,1,413
accuracy focus,3,38,5,5,3,1,2.762189667,1.046667083,0,413
accuracy focus,3,38,5,2,1,0,1.468263125,1.227961917,1,413
accuracy focus,3,39,5,5,4,1,1.261915208,0.440074375,0,413
accuracy focus,3,39,5,3,3,0,1.340098875,1.464888084,1,413
accuracy focus,3,40,5,8,4,0,1.091905166,0.420669542,0,413
accuracy focus,3,40,5,3,4,0,0.905261709,0.401544458,1,413
accuracy focus,3,41,5,3,4,0,0.809672917,0.18544025,0,413
accuracy focus,3,41,5,3,4,0,0.761548292,0.170141125,1,413
accuracy focus,3,42,5,3,4,0,1.202427833,0.282311958,0,413
accuracy focus,3,42,5,3,4,0,0.576958292,0.1232215,1,413
accuracy focus,3,43,5,5,2,1,1.288699291,0.426154916,0,413
accuracy focus,3,43,5,5,1,1,1.067730833,0.255830459,1,413
accuracy focus,3,44,5,8,2,0,0.753381958,0.394226084,0,413
accuracy focus,3,44,5,3,2,0,0.91706375,1.504129791,1,413
accuracy focus,3,45,5,5,4,1,0.945371459,0.473266208,0,413
accuracy focus,3,45,5,3,1,0,0.764562416,0.36474775,1,413
accuracy focus,3,46,5,5,4,1,0.69101725,0.11984025,0,413
accuracy focus,3,46,5,8,4,0,0.414506625,0.233222292,1,413
accuracy focus,3,47,5,3,4,0,0.949997833,0.571801625,0,413
accuracy focus,3,47,5,3,4,0,1.734846042,0.999141584,1,413
accuracy focus,3,48,5,3,4,0,1.0237075,0.908985291,0,413
accuracy focus,3,48,5,3,4,0,0.685354709,0.553391167,1,413
accuracy focus,3,49,5,5,4,1,1.216022583,0.760773542,0,413
accuracy focus,3,49,5,5,2,1,1.40010625,0.825770834,1,413
accuracy focus,3,50,5,3,4,0,1.369565666,0.428007542,0,413
accuracy focus,3,50,5,3,4,0,0.807927542,0.168006375,1,413
accuracy focus,3,51,5,3,4,0,1.017222833,1.209863458,0,413
accuracy focus,3,51,5,3,2,0,1.159787333,0.93831025,1,413
accuracy focus,3,52,5,3,4,0,0.665282458,0.165974166,0,413
accuracy focus,3,52,5,3,4,0,0.815084792,0.233064666,1,413
accuracy focus,3,53,5,3,4,0,0.902124125,0.553323125,0,413
accuracy focus,3,53,5,7,2,0,0.727017041,0.29608175,1,413
accuracy focus,3,54,5,3,2,0,0.88901525,0.504386833,0,413
accuracy focus,3,54,5,3,2,0,0.68788475,0.713454333,1,413
accuracy focus,3,55,5,5,2,1,2.044947042,0.535433792,0,413
accuracy focus,3,55,5,3,1,0,1.512973333,0.448014833,1,413
accuracy focus,3,56,5,3,2,0,1.253560583,0.431244625,0,413
accuracy focus,3,56,5,3,2,0,0.822149333,0.76591975,1,413
accuracy focus,3,57,5,5,4,1,0.794046875,0.167910458,0,413
accuracy focus,3,57,5,8,3,0,1.811981833,0.423979959,1,413
accuracy focus,3,58,5,8,4,0,1.12532225,0.936956792,0,413
accuracy focus,3,58,5,3,4,0,1.391292416,0.197834041,1,413
accuracy focus,3,59,5,5,3,1,1.042533292,0.441831333,0,413
accuracy focus,3,59,5,3,3,0,0.679600333,0.424856375,1,413
accuracy focus,3,60,5,8,2,0,2.004241459,1.707136875,0,413
accuracy focus,3,60,5,3,3,0,0.864461667,1.101294875,1,413
accuracy focus,4,1,6,6,4,1,1.414516667,0.693933542,0,447
accuracy focus,4,1,6,5,2,0,1.685480167,0.7626455,1,447
accuracy focus,4,2,6,6,4,1,1.136553792,0.218525041,0,447
accuracy focus,4,2,6,6,4,1,0.865295125,0.201954375,1,447
accuracy focus,4,3,6,6,4,1,0.953053875,0.253296459,0,447
accuracy focus,4,3,6,8,2,0,0.826881667,0.66144,1,447
accuracy focus,4,4,6,6,3,1,0.968697334,0.390943291,0,447
accuracy focus,4,4,6,6,4,1,0.74544125,0.424554041,1,447
accuracy focus,4,5,6,6,4,1,0.87426375,0.204095208,0,447
accuracy focus,4,5,6,6,4,1,0.785047208,0.217081958,1,447
accuracy focus,4,6,6,6,4,1,0.737789458,0.298073792,0,447
accuracy focus,4,6,6,6,4,1,0.632278791,0.139376916,1,447
accuracy focus,4,7,6,5,2,0,0.873711833,0.769879042,0,447
accuracy focus,4,7,6,6,4,1,1.60361575,0.391852916,1,447
accuracy focus,4,8,6,6,3,1,1.380833917,0.4109105,0,447
accuracy focus,4,8,6,8,4,0,0.858237458,0.291076458,1,447
accuracy focus,4,9,6,6,4,1,0.991182917,0.955599292,0,447
accuracy focus,4,9,6,8,3,0,1.178479166,1.547897208,1,447
accuracy focus,4,10,6,6,4,1,0.9149625,0.2973705,0,447
accuracy focus,4,10,6,6,4,1,0.679315,0.3142815,1,447
accuracy focus,4,11,6,6,4,1,0.647285875,0.250086958,0,447
accuracy focus,4,11,6,6,4,1,0.887663125,0.402018667,1,447
accuracy focus,4,12,6,6,4,1,0.687222417,0.232071209,0,447
accuracy focus,4,12,6,6,1,1,0.678778042,1.128835625,1,447
accuracy focus,4,13,6,5,3,0,0.735381458,0.637923125,0,447
accuracy focus,4,13,6,6,4,1,0.904885958,0.204905125,1,447
accuracy focus,4,14,6,6,4,1,0.767330459,0.21777525,0,447
accuracy focus,4,14,6,6,4,1,1.147929958,0.2309715,1,447
accuracy focus,4,15,6,8,4,0,0.809056958,0.912311125,0,447
accuracy focus,4,15,6,8,4,0,0.923455291,0.538336833,1,447
accuracy focus,4,16,6,6,4,1,0.683634416,0.647010041,0,447
accuracy focus,4,16,6,6,3,1,0.933371667,1.690536792,1,447
accuracy focus,4,17,6,6,4,1,1.491517083,0.635977666,0,447
accuracy focus,4,17,6,6,2,1,1.797761166,0.728025417,1,447
accuracy focus,4,18,6,6,4,1,1.321558083,1.310219375,0,447
accuracy focus,4,18,6,6,4,1,0.691259875,0.281691375,1,447
accuracy focus,4,19,6,7,2,0,3.000530375,0.283260542,0,447
accuracy focus,4,19,6,6,2,1,1.796094375,0.290803709,1,447
